<IFRAME ...>,"Inline Frame"
ALIGN="LEFT/RIGHT/TOP/TEXTTOP/MIDDLE/ABSMIDDLE/CENTER/BOTTOM/ABSBOTTOM/BASELINE",Alignment of the frame object to text around it
FRAMEBORDER="1/0",If the frame should have a border around it
HEIGHT,Height of the inline frame
HSPACE,Space to the left and right of the frame
LONGDESC,URL of a long description of the contents of the frame
MARGINHEIGHT,Internal top/bottom margin for the frame
MARGINWIDTH,Internal left/right margin for the frame
NAME,Name of this inline frame
SCROLLING="YES/NO/AUTO,If the frame should have scroll bars
SRC,URL of the document to go in the frame
VSPACE,Space above and below the frame
WIDTH,Width of the inline frame
